"symbol","resolution","timestamp_utc","volume"
"BHL","1m","2026-03-24T07:52:18.0000000Z","940"
"BHL","1m","2026-03-24T07:53:48.0000000Z","8250"
"BHL","1m","2026-03-24T07:54:19.0000000Z","1000"
"BHL","1m","2026-03-24T07:55:28.0000000Z","6955"
"BHL","1m","2026-03-24T07:56:53.0000000Z","110"
"BHL","1m","2026-03-24T07:57:43.0000000Z","550"
"BHL","1m","2026-03-24T07:58:35.0000000Z","1875"
"BHL","1m","2026-03-24T07:59:22.0000000Z","20"
"BHL","1m","2026-03-24T08:00:49.0000000Z","906"
"BHL","1m","2026-03-24T08:02:36.0000000Z","1266"
"BHL","1m","2026-03-24T08:03:47.0000000Z","1300"
"BHL","1m","2026-03-24T08:04:59.0000000Z","3750"
"BHL","1m","2026-03-24T08:05:56.0000000Z","1080"
"BHL","1m","2026-03-24T08:06:51.0000000Z","10"
"BHL","1m","2026-03-24T08:07:31.0000000Z","1037"
"BHL","1m","2026-03-24T08:08:45.0000000Z","2210"
"BHL","1m","2026-03-24T08:09:58.0000000Z","2953"
"BHL","1m","2026-03-24T08:10:50.0000000Z","2560"
"BHL","1m","2026-03-24T08:11:59.0000000Z","1967"
"BHL","1m","2026-03-24T08:12:53.0000000Z","100"
"BHL","1m","2026-03-24T08:13:52.0000000Z","2323"
"BHL","1m","2026-03-24T08:14:24.0000000Z","30"
"BHL","1m","2026-03-24T08:15:56.0000000Z","1155"
"BHL","1m","2026-03-24T08:16:28.0000000Z","4839"
"BHL","1m","2026-03-24T08:17:46.0000000Z","861"
"BHL","1m","2026-03-24T08:18:57.0000000Z","3948"
"BHL","1m","2026-03-24T08:19:33.0000000Z","3367"
"BHL","1m","2026-03-24T08:20:42.0000000Z","50"
"BHL","1m","2026-03-24T08:21:44.0000000Z","5000"
"BHL","1m","2026-03-24T08:22:01.0000000Z","11"
"BHL","1m","2026-03-24T08:23:57.0000000Z","850"
"BHL","1m","2026-03-24T08:24:56.0000000Z","7909"
"BHL","1m","2026-03-24T08:25:17.0000000Z","1010"
"BHL","1m","2026-03-24T08:26:36.0000000Z","1035"
"BHL","1m","2026-03-24T08:27:41.0000000Z","160"
"BHL","1m","2026-03-24T08:28:40.0000000Z","5914"
"BHL","1m","2026-03-24T08:29:57.0000000Z","1936"
"BHL","1m","2026-03-24T08:30:52.0000000Z","961"
"BHL","1m","2026-03-24T08:31:23.0000000Z","11"
"BHL","1m","2026-03-24T08:32:51.0000000Z","10"
"BHL","1m","2026-03-24T08:33:59.0000000Z","2310"
"BHL","1m","2026-03-24T08:34:52.0000000Z","250"
"BHL","1m","2026-03-24T08:35:26.0000000Z","1850"
"BHL","1m","2026-03-24T08:36:50.0000000Z","20"
"BHL","1m","2026-03-24T08:37:55.0000000Z","1861"
"BHL","1m","2026-03-24T08:38:56.0000000Z","1000"
"BHL","1m","2026-03-24T08:39:43.0000000Z","190"
"BHL","1m","2026-03-24T08:40:53.0000000Z","110"
"BHL","1m","2026-03-24T08:41:44.0000000Z","269"
"BHL","1m","2026-03-24T08:42:53.0000000Z","3027"
"BHL","1m","2026-03-24T08:43:46.0000000Z","4482"
"BHL","1m","2026-03-24T08:44:34.0000000Z","306"
"BHL","1m","2026-03-24T08:45:48.0000000Z","410"
"BHL","1m","2026-03-24T08:46:28.0000000Z","240"
"BHL","1m","2026-03-24T08:47:28.0000000Z","2220"
"BHL","1m","2026-03-24T08:48:59.0000000Z","1000"
"BHL","1m","2026-03-24T08:49:50.0000000Z","1380"
"BHL","1m","2026-03-24T08:50:51.0000000Z","3618"
"BHL","1m","2026-03-24T08:51:52.0000000Z","3140"
"BHL","1m","2026-03-24T08:52:29.0000000Z","0"
"BHL","1m","2026-03-24T08:53:48.0000000Z","1120"
"BHL","1m","2026-03-24T08:54:45.0000000Z","1189"
"BHL","1m","2026-03-24T08:55:42.0000000Z","3127"
"BHL","1m","2026-03-24T08:56:24.0000000Z","0"
"BHL","1m","2026-03-24T08:57:53.0000000Z","2450"
"BHL","1m","2026-03-24T08:58:53.0000000Z","1705"
"BHL","1m","2026-03-24T08:59:57.0000000Z","1054"
"BHL","1m","2026-03-24T09:00:51.0000000Z","4357"
"BHL","1m","2026-03-24T09:01:36.0000000Z","6541"
"BHL","1m","2026-03-24T09:02:52.0000000Z","3661"
"BHL","1m","2026-03-24T09:03:39.0000000Z","2315"
"BHL","1m","2026-03-24T09:04:38.0000000Z","3620"
"BHL","1m","2026-03-24T09:05:56.0000000Z","17843"
"BHL","1m","2026-03-24T09:06:55.0000000Z","3390"
"BHL","1m","2026-03-24T09:07:55.0000000Z","320"
"BHL","1m","2026-03-24T09:08:56.0000000Z","6021"
"BHL","1m","2026-03-24T09:09:46.0000000Z","2391"
"BHL","1m","2026-03-24T09:10:45.0000000Z","4255"
"BHL","1m","2026-03-24T09:11:54.0000000Z","4282"
"BHL","1m","2026-03-24T09:12:53.0000000Z","16117"
"BHL","1m","2026-03-24T09:13:55.0000000Z","3175"
"BHL","1m","2026-03-24T09:14:59.0000000Z","6941"
"BHL","1m","2026-03-25T05:15:57.0000000Z","510"
"BHL","1m","2026-03-25T05:16:28.0000000Z","865"
"BHL","1m","2026-03-25T05:17:59.0000000Z","1885"
