date_np,bars,volume,open,high,low,close
2025-10-14,127,44192,184,185,179,179.9
2025-10-15,118,54726,179.9,181,178,178
2025-10-16,117,77825,176,180,176,176
2025-10-19,125,70943,175,177.5,173,175
2025-10-26,97,42706,175,175.9,173.5,175.5
2025-10-28,140,87761,175.6,181.3,175,181.3
2025-10-29,132,52552,178,183,178,179.5
2025-10-30,133,55787,177.1,182,177.1,180.1
2025-11-02,154,68734,179,184.2,179,182.5
2025-11-03,123,57523,182.9,184.2,180.1,181
2025-11-04,117,53866,181,181.9,178,178
2025-11-05,113,36679,179,180,177.5,179
2025-11-06,123,52908,179.5,180.5,178,178.2
2025-11-09,121,69409,178.2,178.9,175.4,175.6
2025-11-10,118,81317,177,178,174.8,175
2025-11-11,110,30983,175.1,177.4,175,175.5
2025-11-12,110,52869,177,177,174,174.5
2025-11-13,125,57993,175,176.5,174,174
2025-11-16,114,56278,176,176,171.6,174
2025-11-17,114,39637,175.9,176.5,172,174.4
2025-11-18,130,78002,174,177,174,176.9
2025-11-19,109,52125,177.9,178,174.8,175.1
2025-11-20,118,67379,171.7,178,171.7,176
2025-11-23,151,88499,176.9,179.4,176.5,179
2025-11-24,154,73348,179,181,179,180
2025-11-25,153,100112,182.9,186.6,180.5,181.9
2025-11-26,142,69461,185,185,180,182
2025-11-27,145,58588,182,183,180,183
2025-11-30,160,121856,183.9,184.8,181,181
2025-12-01,129,48204,181,181.5,179.2,179.4
2025-12-02,111,41117,179,180,178,179
2025-12-03,113,33653,179,180.8,178,178.4
2025-12-07,145,105861,179,179,175,175.6
2025-12-08,150,74595,175,176.7,174.5,174.7
2025-12-09,109,46902,174,176.6,173.5,176.6
2025-12-10,109,50637,177.4,177.5,174,175
2025-12-11,112,53726,176,177,174.1,175.8
2025-12-14,139,61426,174,176,174,174
2025-12-15,118,73233,174,176.5,174,174.4
2025-12-16,110,33599,173,176.5,173,175.9
2025-12-17,125,72877,176,177,175,175.2
2025-12-18,132,38732,178,178,174.1,174.8
2025-12-21,124,56818,176,176,174.1,174.1
2025-12-22,118,45460,174.1,174.1,173.1,173.4
2025-12-23,134,46208,173,175,172.1,174
2025-12-24,118,40204,174,174,172.4,172.8
2025-12-28,142,74151,174,176.2,173.5,175.5
2025-12-29,144,80230,176,177,173,174
2025-12-31,129,76181,174.1,176,173.6,173.6
2026-01-01,132,56448,173.6,175,173.1,173.9
2026-01-04,140,68037,170.5,175,170.5,174
2026-01-05,127,58281,172.5,175.6,172.2,174
2026-01-06,133,77345,173,175,172.7,174
2026-01-07,128,70354,173.2,175,172.6,173.9
2026-01-08,122,73734,174,175,173,175
2026-01-12,155,73988,175,176,173.5,173.7
2026-01-13,130,38737,173,174.9,172.1,174
2026-01-14,132,69499,177,177,173,174
2026-01-18,153,112088,174,175,173.5,174.9
2026-01-20,194,281865,176,183.5,176,181.9
2026-01-21,160,152385,184,184.8,180,180.2
2026-01-22,141,225861,183.8,186.1,179.5,185.1
2026-01-25,223,390453,186.9,195,186.9,194.4
2026-01-26,213,301541,196,198,189,193
2026-01-27,202,220724,192,194,186,186.9
2026-01-28,192,156674,190.6,190.6,182,184.7
2026-01-29,216,622010,183,195,183,191.5
2026-02-01,181,146801,194,194,188,189
2026-02-02,168,119509,185.3,191.9,185.3,187
2026-02-03,152,174094,190.7,190.7,182.7,183.4
2026-02-04,155,104336,179.8,187.9,179.8,184.7
2026-02-05,193,247695,185,190.5,183.5,188.1
2026-02-08,184,185555,190,191.6,186.2,186.3
2026-02-09,173,281626,187,193,185.2,189
2026-02-10,209,342214,191,194.8,189.3,190.2
2026-02-11,165,148781,192,194,189,190
2026-02-12,203,374165,190,195,189.1,192.9
2026-02-16,183,182329,193,195,189,189.8
2026-02-17,171,200779,193.5,193.5,185,185.3
2026-02-22,167,112000,186,186,181.1,182
2026-02-23,151,99553,182,183.9,179.1,182
2026-02-24,126,49031,182,184.5,182,183.8
2026-02-25,131,65458,184,185,183,184.4
2026-02-26,140,96838,188,188,184,184.9
2026-03-01,157,120196,188.5,188.5,180,185.7
2026-03-03,167,159485,189.4,189.8,185,189.7
2026-03-09,3,23326,193.4,208.6,193.4,208.6
2026-03-10,232,2114315,212.7,217,205,216
2026-03-11,237,989655,220,225,213,215.5
2026-03-12,234,1087302,219,223.9,212,218
2026-03-15,229,725559,218,221,215,218.9
2026-03-16,218,643694,220,220,211.4,213
2026-03-17,229,915030,215,219.9,209.1,219.1
2026-03-19,240,2548271,222,239.5,222,235.6
2026-03-22,215,1552477,236,241.9,232,238
2026-03-23,172,741234,237.1,237.1,232,236
2026-03-24,225,778425,240.7,242.5,234.1,236.9
2026-03-25,227,664956,237,238,229,230
2026-03-26,229,481909,230,234,226,233.9
2026-03-29,237,924493,234,237,220.5,223
2026-03-30,230,698666,227.4,227.4,215.1,216
2026-03-31,227,659335,220.3,220.3,210,218.5
2026-04-01,217,594242,219,221,206.5,208.1
2026-04-02,222,563584,207.5,213.5,199,208
2026-04-05,237,528921,208,209,198,198.6
2026-04-06,232,550177,194.7,215.9,194.7,213
2026-04-07,208,328607,217.2,220,210.1,211.5
2026-04-08,211,250714,215.7,216.7,213,214
2026-04-09,216,302238,218.2,218.2,214,216.5
2026-04-10,212,314264,217.9,217.9,212.2,213
2026-04-13,216,362753,213,217,209.6,217
2026-04-15,233,771030,221,227,217,224.5
2026-04-16,222,375273,224.5,225,216.1,216.9
2026-04-17,205,247624,216.9,219,213.1,217
2026-04-20,204,249935,217,217.4,212,214.6
2026-04-21,201,257415,215,215,208.2,210
2026-04-22,216,408969,210,215,204,207
2026-04-23,184,135500,210,212.9,206,208.5
2026-04-24,191,163426,208.5,211.8,205,207.5
