symbol,first_seen,last_seen,days_with_data,continuous_history,active_days_90,median_turnover_90d,median_volume_90d,median_close_90d,pure_equity_flag,excluded_reason,sector_guess,sector_confidence,sector_source,selected_v2_candidate,notes
CORBL,2021-09-01,2026-04-17,1595,True,90,13692644.25,7702.00,1734.05,True,,DEV_BANK,high,curated_lookup,False,
GBBL,2021-09-01,2026-04-17,1595,True,90,13675822.50,33738.50,404.00,True,,DEV_BANK,high,curated_lookup,False,
MKHC,2023-03-22,2026-04-17,1103,False,90,13537220.50,39577.50,341.60,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
CZBIL,2021-09-01,2026-04-17,1595,True,90,13505858.55,69449.50,199.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,
SHINE,2021-09-01,2026-04-17,1595,True,90,13231691.30,32334.00,409.85,True,,DEV_BANK,high,curated_lookup,False,
GUFL,2021-09-01,2026-04-17,1595,True,90,13176391.30,23895.00,567.45,True,,FINANCE,high,curated_lookup,True,
CFCL,2021-09-01,2026-04-17,1589,True,90,13087995.80,24595.00,541.95,True,,FINANCE,high,curated_lookup,True,
NRM,2023-08-06,2026-04-17,980,False,90,12984466.70,30094.50,430.65,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SBI,2021-09-01,2026-04-17,1595,True,90,12973233.95,31926.00,409.00,True,,COMMERCIAL_BANK,high,curated_lookup,True,
PRIN,2021-09-01,2026-04-17,1454,True,90,12902594.00,17277.00,727.50,True,,LIFE_INSURANCE,high,curated_lookup,True,
SCB,2021-09-01,2026-04-17,1595,True,90,12841046.05,20123.00,647.10,True,,COMMERCIAL_BANK,high,curated_lookup,True,
RLFL,2021-09-01,2026-04-17,1595,True,90,12639768.85,27440.00,458.45,True,,FINANCE,high,curated_lookup,True,
UMRH,2021-09-01,2026-04-17,1595,True,90,12593505.70,22080.50,558.50,True,,HYDROPOWER,high,curated_lookup,False,
NFS,2021-09-01,2026-04-17,1595,True,90,12582309.80,20328.00,644.00,True,,FINANCE,high,curated_lookup,False,
MLBSLP,2025-03-11,2026-01-20,2,False,1,12453600.00,83024.00,100.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;LOW_ACTIVITY;POST_2021_LISTING
UHEWA,2022-08-11,2026-04-17,1323,False,90,12438464.95,21688.00,570.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
RSDC,2021-09-01,2026-04-17,1595,True,90,12196252.60,18352.00,670.00,True,,MICROFINANCE,high,curated_lookup,True,
NTC,2021-09-01,2026-04-17,1595,True,90,12088615.70,13862.00,862.95,True,,TELECOM,high,curated_lookup,True,
BFC,2021-09-01,2026-04-17,1595,True,90,12005846.65,24709.50,478.90,True,,FINANCE,high,curated_lookup,False,
NLG,2021-09-01,2026-04-17,1595,True,90,11902629.95,17376.00,679.90,True,,NON_LIFE_INSURANCE,high,curated_lookup,True,
SMJC,2023-04-17,2026-04-17,1090,False,90,11657450.15,23937.50,492.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SMH,2023-03-27,2026-04-17,1094,False,90,11432882.60,17054.50,646.50,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
SNLI,2023-09-21,2026-04-17,935,False,90,11355470.70,24579.50,469.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
TAMOR,2023-04-17,2026-04-17,1090,False,90,11321873.00,26787.00,446.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
MHNL,2021-09-01,2026-04-17,1595,True,90,11212857.50,37784.00,274.25,True,,HYDROPOWER,high,curated_lookup,False,
HATHY,2023-10-11,2026-04-17,915,False,90,11032316.20,11824.00,919.00,True,,UNKNOWN,low,unclassified,False,SECTOR_UNVERIFIED;POST_2021_LISTING
